Unnamed: 0,job_title,company_name,location,post_date,job_description,salary,province,post_date_num,scrape_date,posted_at,posted_date_only,python_yn,sql_yn,mysql_yn,postgresql_yn,database_yn,aws_yn,azure_yn,spark_yn,hadoop_yn,kafka_yn,snowflake_yn,databricks_yn,apache_yn,git_yn,github_yn,tableau_yn,power bi_yn,looker_yn,experience_needed_yn,salary_preCleaned,min_salary,max_salary,avg_salary
0,Data Scientist,"PT. Metrodata Electronics, Tbk","Kalideres, Jakarta",Posted 18d ago,"Job Description
PT Metrodata Electronics, Tbk (Digital Solution Provider & Technology Innovator) would like to invite you to be part of the company to develop yourself and your skills. If you are:
Bachelor's Degree Computer Science/Information Technology
2-3 years of experience in Data Modelling/Predictive Modelling and in developing machine learning.
Knows programming language (e.g. R, Python, Scala)
Passion in big data analytics.
A strong mix of mathematical/statistical and programming skills.
Solid analytical and problem-solving skills to create data-driven insights.
If you meet the requirement we needed, let’s apply for the following open positions. Metrodata not just offer for the job, we offer you for brighter career future.
Minimum Qualifications
We are looking for an experienced Data Scientist to join our team. If you have excellent programming skills and a passion for developing applications or improving existing ones, we would like to meet you. As a Data Scientist, you’ll work closely with our engineers to ensure system consistency and improve user experience.
Data Scientist roles and responsibilities include:
Develop data science model using various machine learning platform such as Cloudera Data Science Workbench (CDSW), Google AI, Azure ML, IMB Watson, AWS Sagemaker, SAS, R, Python or others.
Follow project timeline to ensure project complete on time and on budget
Develop new product in machine learning area such as demand forecasting, product recommendation or basket analysis and other solution
Improve competencies in machine learning area",Not Available,jakarta,18d,2026-03-18 01:00:00,2026-02-28 01:00:00,2026-02-28,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,,,,
1,DATA ANALYST,PT Pesta Pora Abadi,"Malang, East Java",Posted 12h ago,"Qualification :
Minimum of 2–3 years of experience in data analytics.
Experience in Food & Beverages (F&B), retail, or startup industries is a plus.
Proficient in SQL with a strong understanding of query cost optimization.
Skilled in data visualization tools such as Power BI, Tableau, Looker Studio, or Metabase.
Strong proficiency in Excel or Google Sheets for quick data analysis.
Solid understanding of key business KPIs such as GMV, margin, conversion rate, and cost efficiency.
Familiarity with dbt or basic ETL (Extract, Transform, Load) concepts is a plus.
Basic knowledge of Python or R for simple automation is a plus.

Jobdesc :
Analyze business performance across sales, operations, and marketing.
Build dashboards and visual reports to track key metrics.
Write SQL to query, clean, and join data from multiple sources.
Design and maintain efficient data models to reduce query cost.
Work with engineers to fix data issues and improve pipelines.
Share clear, actionable insights with teams and management.
Support data culture by helping non-data teams use reports correctly.",Not Available,east java,12h,2026-03-18 01:00:00,2026-03-17 13:00:00,2026-03-17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,,,,
3,Senior Data Scientist,PT PEFINDO Biro Kredit,"South Jakarta, Jakarta",Posted 19d ago,"Key Responsibilities
Lead and deliver advanced data analysis, statistical modeling, and machine learning solutions to support credit analytics, risk assessment, credit scoring, and portfolio performance monitoring.
Design, develop, validate, and continuously improve predictive models related to credit behavior, default risk, fraud indicators, and data quality metrics.
Perform data exploration, experimentation, feature engineering, and model optimization using Python/R and SQL on large-scale, structured, and sensitive credit datasets.
Take full ownership of the analytical model lifecycle, including development, deployment, performance monitoring, stability tracking, recalibration, and documentation.
Ensure high standards of data quality, consistency, confidentiality, and integrity across all analytical processes.
Translate complex analytical results into clear, actionable insights through reports, dashboards, and visualizations using BI tools such as Power BI or Tableau.
Act as a strategic data partner to Risk, Product, Business, and Technology teams, supporting credit product development, risk policy formulation, and enterprise analytics initiatives.
Provide technical guidance and mentorship to junior data scientists and analysts.
Apply and promote best practices in data governance, data privacy, model governance, and regulatory compliance in alignment with financial services regulations.
Contribute to the continuous enhancement of data science standards, methodologies, and analytics frameworks within the organization.
Qualifications
Bachelor’s or Master’s degree in Statistics, Mathematics, Computer Science, Data Science, Economics, Engineering, or a related quantitative field.
Minimum 5 years of relevant experience in data science, advanced analytics, or statistical modeling, with demonstrated senior-level responsibilities.
Strong hands-on expertise in Python and/or R, SQL, and experience working with large-scale structured datasets.
Solid understanding of credit risk concepts, including credit scoring, consumer credit behavior, portfolio analytics, or alternative data, preferably within financial services, banking, fintech, or credit bureau environments.
Proven experience in developing, deploying, and monitoring analytical models in production environments.
Experience with model governance, documentation, and regulatory or audit review processes in a regulated environment.
Strong ability to communicate complex analytical insights clearly and effectively to both technical and non-technical stakeholders.
Ability to work independently, take ownership of analytical outcomes, and provide sound judgment in data-driven decision-making.",Not Available,jakarta,19d,2026-03-18 01:00:00,2026-02-27 01:00:00,2026-02-27,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,,,
4,Data Scientist,PT Sisindokom Lintasbuana,"Central Jakarta, Jakarta",Posted 18d ago,"We are looking for a Data Scientist / AI & Machine Learning Engineer with strong experience in building end-to-end Machine Learning, Deep Learning, and Generative AI solutions. This role will be responsible for designing scalable AI architectures, developing predictive and Generative AI models (RAG, Agentic AI), and deploying production-ready solutions on cloud platforms such as Google Cloud Platform (GCP) and/or AWS.
The ideal candidate has hands-on experience with MLOps, large-scale data processing, and delivering AI solutions in real-world enterprise environments.
Job Responsibilities
Design, develop, and deploy Machine Learning, Deep Learning, and Generative AI solutions.
Build and maintain end-to-end ML pipelines, including data ingestion, preprocessing, model training, deployment, and monitoring.
Develop Generative AI applications, such as:
LLM-based chatbots
Retrieval-Augmented Generation (RAG)
Agentic AI / Multi-Agent systems using LangChain and LangGraph
Design and implement cloud architectures on Google Cloud Platform (Vertex AI, BigQuery, Dataflow, Cloud Run, Cloud Functions, Dialogflow, etc.) and/or AWS.
Develop and optimize models for forecasting, classification, and regression use cases.
Collaborate with business stakeholders, product teams, and engineers to translate business requirements into AI-driven solutions.
Optimize model performance, scalability, and reliability in production environments.
Apply MLOps best practices, including CI/CD for ML, automation, and monitoring.
Provide technical leadership, guidance, and best practices to team members.
Job Qualifications
Bachelor’s or Master’s degree in Computer Science, Informatics, Data Science, or related fields (Master’s degree is a plus).
1+ years of experience as a Data Scientist, Machine Learning Engineer, or AI Engineer.
Strong knowledge and hands-on experience in:
Machine Learning, Deep Learning, and Generative AI
MLOps and automated ML pipelines
Proficiency in Python (required); experience with R, Javascript, or C++ is a plus.
Hands-on experience with Google Cloud Platform (Vertex AI, BigQuery, Dataflow, Cloud Storage, etc.).
Experience with AWS is a plus.
Experience with Vector Databases (Pinecone, Weaviate, ChromaDB) and relational/non-relational databases.
Proven experience developing LLM-based applications, including chatbots, RAG, and Agentic AI.
Solid understanding of cloud architecture, data engineering, and scalable systems.
Cloud and/or Machine Learning certifications (e.g., Google Cloud, Professional ML Engineer) are a strong plus.
Strong problem-solving skills, good communication abilities, and the ability to work independently or in a team.",Not Available,jakarta,18d,2026-03-18 01:00:00,2026-02-28 01:00:00,2026-02-28,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
5,Data Analyst - Livestream,SKINTIFIC,"South Jakarta, Jakarta",Posted 13h ago,"Job Summary
We are looking for a highly analytical, agile, and detail-oriented Data Analyst to join our Livestream team. This role is crucial in transforming raw data from every live session into actionable insights that drive Gross Merchandise Value (GMV), optimize viewer engagement, and empower the production team and hosts to make data-driven decisions.

Responsibilities
Daily Performance Analysis : Monitor and analyze key metrics from livestream sessions in real-time and post-live including Traffic, Watch Time, Click Through Rate (CTR), Conversion Rate (CR), GMV, etc
Content & Product Optimization : Collaborate closely with Livestream Trainer to evaluate top-selling products, identify high-retention segments, and provide data-backed recommendations for product bundling and flash sales
Dashboard Development & Reporting : Design, build, and maintain interactive daily and weekly reporting dashboards for the operational team using advanced spreadsheets, Tableau, Power BI, or Looker
Audience Profiling : Analyze audience demographics, purchasing behavior, and interaction patterns to determine optimal broadcasting schedules (peak hours)
A/B Testing & Experimentation : Design and measure the outcomes of livestream experiments, such as testing different thumbnail designs, stream titles, or host promotional styles.
Market Research : Monitor competitor and platform livestreaming trends (TikTok Shop, Shopee Live, etc)

Requirements
Bachelor’s Degree in Computer Science/Statistics/Information Systems or a related quantitative field
Experience: 2-3 years of proven experience as Data Analyst. Background in E-commerce, Digital Marketing or an MCN (Multi-Channel Network) is a strong plus.
Highly proficient in Spreadsheets/Excel (comfortable with complex formulas, pivot tables, and large dataset manipulation).
Strong knowledge of SQL for database extraction and querying.
Hands-on experience with data visualization tools (e.g., Tableau, Power BI, Google Looker Studio).
Excellent communication skills; ability to translate complex quantitative data into clear, actionable terms for creative teams and hosts.
Ability to thrive in a fast-paced environment and adapt quickly to dynamic platform trends.
Strong business acumen to understand how data metrics directly impact revenue goals.",Not Available,jakarta,13h,2026-03-18 01:00:00,2026-03-17 12:00:00,2026-03-17,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,,,,
6,Data Scientist Credit Scoring,PT Sharing Vision Indonesia,"Central Jakarta, Jakarta",Posted 13d ago,"DATA SCIENTIST CREDIT SCORING
(BERTUGAS UNTUK MELAKUKAN PENGEMBANGAN PERMODELAN MACHINE LEARNING ATAU ARTIFICIAL INTELLIGENT YANG DIPERLUKAN UNTUK MENJAWAB PERMASALAH YANG INGIN DIPECAHKAN CLIENT)
Penempatan WFO di Jakarta

Persyaratan:
Berpengalaman dalam pekerjaan/proyek terkait credit scoring dan underwriting minimal 2 tahun
Advance dalam bahasa pemrograman Python/PySpark untuk permodelan machine learning
Menguasai query dalam SQL
Advance dalam teknik permodelan machine learning, artificial intelligent dan statistik (i.e classification, regression, clustering, fraud detection,credit scoring)
Pengalaman dalam teknologi big data (Spark, Hive, Impala) lebih diutamakan
Memiliki sertifikasi atau training data science professional menjadi nilai tambah",Not Available,jakarta,13d,2026-03-18 01:00:00,2026-03-05 01:00:00,2026-03-05,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,,,,
7,Admin Data Analis,Savoria Group,"Central Jakarta, Jakarta",Posted 1d ago,"Pendidikan minimal D3/S1 All Jurusan (Statistik, Matematika, Sistem Informasi) lebih disukai
Pengalaman min. 1 tahun sebagai Admin Data Analis
Dapat mengoperasikan Ms Office (terutama rumus VLOOKUP, HLOOKUP, Pivot)
Membuat dashboard dan visualisasi data menggunakan Power BI atau tools analitik lainnya
Teliti, analitis, detail, dan mampu bekerja dengan deadline.
Mampu berkomunikasi dan berkoordinasi dengan baik",Rp 5.800.000 – Rp 7.000.000 per month,jakarta,1d,2026-03-18 01:00:00,2026-03-17 01:00:00,2026-03-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5800000 –  7000000,,,
8,Data Scientist Intern,PT CRIF Lembaga Informasi Keuangan,"Setiabudi, Jakarta",Posted 20d ago,"Role:
• Assist in collecting, cleaning, and organizing credit bureau data, financial data, and alternative data sources.
• Support the team in conducting basic data analysis to identify patterns, trends, and preliminary insights.
• Help create simple dashboards or visualizations using tools such as Excel, Power BI, or Python.
• Assist in documentation, reporting, and preparation of materials for internal or client presentations.
• Collaborate with the Business Consulting and Analytics teams to support ongoing projects.
• Contribute to market research and competitor insights to support product and analytics development.
• Ensure accuracy, confidentiality, and proper handling of credit bureau–related data.

Position Qualifications:
• Fresh graduate or Master’s degree in Data Science, Statistics, Mathematics, Computer Science, Economics, or related fields.
• Basic knowledge of data analysis using Excel, SQL, Python, or visualization tools.
• Understanding of statistics, data processing, or credit/financial concepts is a plus.
• Strong analytical thinking and willingness to learn about credit risk analytics and the credit bureau industry.
• Ability to communicate findings in a clear, structured manner.
• Good communication skills in English, both written and verbal.
• Detail-oriented, proactive, and eager to support team activities.",Not Available,jakarta,20d,2026-03-18 01:00:00,2026-02-26 01:00:00,2026-02-26,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,
9,Data Analyst,PT Internet Mulia Untuk Negeri (NEXA),"Semarang, Central Java",Posted 14d ago,"Peluang Data Analyst
PT Internet Mulia Untuk Negeri (NEXA) sedang mencari Data Analyst yang berpengalaman dan terampil untuk bergabung dengan tim kami di Semarang, Jawa Tengah. Sebagai Data Analyst, Anda akan memainkan peran kunci dalam menganalisis dan menginterpretasikan data untuk mendukung pengambilan keputusan strategis perusahaan.
Tanggung Jawab Utama
Menganalisis data penjualan, revenue, dan performa klien
Mengembangkan dashboard performa bisnis dan reporting rutin
Melakukan market & competitor analysis
Menyusun revenue forecasting dan business projection
Mendukung pembuatan business case untuk ekspansi dan partnership
Memberikan insight strategis untuk meningkatkan pertumbuhan bisnis

Kualifikasi
Minimal S1 Statistik, Matematika, Ekonomi, Teknik, Informatika, atau bidang terkait.
Minimal 1 tahun pengalaman sebagai Data Analyst dalam industri Teknologi Informasi dan Komunikasi.
Mahir dalam menggunakan alat analitik seperti SQL, Python, R, Power BI, atau Tableau.
Pemahaman yang kuat tentang teknik analisis data, visualisasi data, dan pemodelan prediktif.
Kemampuan berpikir kritis, pemecahan masalah, dan pengambilan keputusan yang baik.
Kemampuan komunikasi yang baik, baik lisan maupun tertulis, untuk menyampaikan wawasan data dengan jelas.
Memahami KPI bisnis seperti CAC, LTV, conversion rate, churn

NEXA adalah perusahaan berkembang yang bergerak di bidang teknologi informasi di Kota Semarang. Sebagai One Stop Solution ICT Service Provider, NEXA menyediakan beragam layanan komprehensif untuk mendukung transformasi digital bisnis di Indonesia dengan teknologi generasi terbaru.
Produk dan solusi kami meliputi Nexa Tel, Nexa Apps, Nexa Data, Nexa Digital, dan Nexa Solution yang dirancang untuk membantu klien meningkatkan efisiensi, daya saing, dan kesiapan teknologi secara menyeluruh.
Mengapa Bergabung dengan NEXA?
Budaya kerja kolaboratif yang mengutamakan komunikasi dan saling mendukung.
Fokus pada pencapaian hasil terbaik dengan profesionalisme tinggi.
Lingkungan kerja yang positif, inspiratif, dan terbuka terhadap ide baru.
Kesempatan belajar dan pengembangan diri secara berkelanjutan.
Untuk info lebih lanjut,dapat kunjungi website kami di https://nexa.net.id/.",Rp 4.500.000 – Rp 5.500.000 per month,central java,14d,2026-03-18 01:00:00,2026-03-04 01:00:00,2026-03-04,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,4500000 –  5500000,,,
11,DATA ANALIS,MIKALINDO BAKTI CEMERLANG,"West Jakarta, Jakarta",Posted 18d ago,"Kualifikasi:
1. Pendidikan: Sarjana dalam bidang yang relevan, seperti Statistika, Matematika, Ilmu Komputer, atau Ekonomi.
2. Pengalaman: Pengalaman dalam analisis data, terutama dalam industri distribusi consumer goods.
3. Kemampuan Analisis: Kemampuan analisis data yang kuat, termasuk kemampuan untuk mengidentifikasi pola dan tren.
4. Kemampuan Komunikasi: Kemampuan komunikasi yang efektif untuk mempresentasikan hasil analisis kepada manajemen.
5. Kemampuan Teknis: Kemampuan menggunakan perangkat lunak analisis data, seperti Excel, SQL, Python, R, atau Tableau.
6. Bersedia bekerja dari senin - sabtu (setengah hari)
7. Penempatan Kalideres, Jakarta Barat

Keahlian:
1. Analisis Data: Keahlian dalam analisis data, termasuk kemampuan untuk mengidentifikasi pola dan tren.
2. Penggunaan Perangkat Lunak: Keahlian dalam menggunakan perangkat lunak analisis data, seperti Excel, SQL, Python, R, atau Tableau.
3. Komunikasi: Keahlian dalam komunikasi yang efektif untuk mempresentasikan hasil analisis kepada manajemen.
4. Problem-Solving: Keahlian dalam memecahkan masalah dan mengidentifikasi peluang terbaik
Tugas dan Tanggung Jawab:
1. Analisis Data: Mengumpulkan, menganalisis, dan menginterpretasikan data penjualan,   distribusi, dan lain-lain untuk memahami tren dan pola.
2. Pengembangan Laporan: Membuat laporan yang akurat dan tepat waktu untuk membantu manajemen dalam pengambilan keputusan.
3. Identifikasi Masalah: Mengidentifikasi masalah dan peluang perbaikan dalam proses distribusi dan penjualan.
4. Rekomendasi: Memberikan rekomendasi kepada manajemen berdasarkan hasil analisis data.
5. Pengembangan Model: Mengembangkan model analisis data untuk memprediksi penjualan, distribusi, dan lain-lain.","Rp 6,000,000 – Rp 7,000,000 per month",jakarta,18d,2026-03-18 01:00:00,2026-02-28 01:00:00,2026-02-28,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6000000 –  7000000,,,
