job_title|company_name|location|province|posted_at|python_yn|sql_yn|mysql_yn|postgresql_yn|database_yn|aws_yn|azure_yn|spark_yn|hadoop_yn|kafka_yn|snowflake_yn|databricks_yn|apache_yn|git_yn|github_yn|tableau_yn|power bi_yn|looker_yn|experience_needed_yn|min_salary|max_salary|avg_salary
Data Scientist|PT. Metrodata Electronics, Tbk|Kalideres, Jakarta|jakarta|2026-02-28 01:00:00|1|0|0|0|0|1|1|0|0|0|0|0|0|1|0|0|0|0|0|||
DATA ANALYST|PT Pesta Pora Abadi|Malang, East Java|east java|2026-03-17 13:00:00|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|0|||
Senior Data Scientist|PT PEFINDO Biro Kredit|South Jakarta, Jakarta|jakarta|2026-02-27 01:00:00|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0|||
Data Scientist|PT Sisindokom Lintasbuana|Central Jakarta, Jakarta|jakarta|2026-02-28 01:00:00|1|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|||
Data Analyst - Livestream|SKINTIFIC|South Jakarta, Jakarta|jakarta|2026-03-17 12:00:00|0|1|0|0|1|0|0|0|0|0|0|0|0|1|0|1|1|1|0|||
Data Scientist Credit Scoring|PT Sharing Vision Indonesia|Central Jakarta, Jakarta|jakarta|2026-03-05 01:00:00|1|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|1|||
Admin Data Analis|Savoria Group|Central Jakarta, Jakarta|jakarta|2026-03-17 01:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|1|5800000.0|7000000.0|6400000.0
Data Scientist Intern|PT CRIF Lembaga Informasi Keuangan|Setiabudi, Jakarta|jakarta|2026-02-26 01:00:00|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|||
Data Analyst|PT Internet Mulia Untuk Negeri (NEXA)|Semarang, Central Java|central java|2026-03-04 01:00:00|1|1|0|0|0|0|0|0|0|0|0|0|0|1|0|1|1|0|1|4500000.0|5500000.0|5000000.0
DATA ANALIS|MIKALINDO BAKTI CEMERLANG|West Jakarta, Jakarta|jakarta|2026-02-28 01:00:00|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|6000000.0|7000000.0|6500000.0
Data Engineer|PT ROCKSTAR SPORTS SCHOOL|West Jakarta, Jakarta|jakarta|2026-02-19 01:00:00|1|1|0|0|1|0|1|0|0|0|0|0|0|1|0|0|0|0|0|10000000.0|15000000.0|12500000.0
